Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",8 ,"DUKUKY, Jestina V. (CDC) ","",28 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",92
"BRUMSKINE, Charles Walker (LP) ","","",10 ,"KOLLIE, George Blama (LP) ","",13 ,"DORLEY, Bartu Marie (NPP) ","","","","","",22
"CONNEH, Sekou Damate (PRODEM) ","","",5 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",11 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",112
"DIVINE, SR., Samuel Raymond (Ind) ","","",2 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",23 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",6
"FARHAT, David M. (FDP) ","","",1 ,"MENDS-COLE, Edward Sumo (LP) ","",30 ,"SANYON, Filiman Sekou (NRP) ","","","","","",2
"JALLAH, Armah Zolu (NPL) ","","",3 ,"NAATEHN, SR., Daniel Flomo (UP) ","",20 ,"SARNOR, Armah  (LP) ","","","","","",10
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",25 ,"SEH, William M. (COTOL) ","",9 ,"SARNOR, Momo Gornah (UP) ","","","","","",9
"KIADII, George Momodu (NATVIPOL) ","","",1 ,"TARNUE, SR., Harris Fomba (NDPL) ","",77 ,"",Valid Votes: ,"","","","",253
"KIEH, JR., George Klay (NDM) ","","",1 ,"TAWEH, Joseph Jarleakai (UP) ","",8 ,"",Invalid Votes: ,"","","","",37
"KORTO, Joseph D. Z. (LERP) ","","",1 ,"TORMETIE, Samuel Sumo (NRP) ","",24 ,"",Total Votes: ,"","","","",290
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",107,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"",Valid Votes: ,350,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",1 ,"",Invalid Ballots: ,35,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",0 ,"",Valid Votes + Invalid Ballots: ,385,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",0,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",10,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",3,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",2,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",39,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",97,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",45,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",5,"","","","","","","","","",""
"",Valid Votes: ,"",261,"","","","","","","","","",""
"",Invalid Votes: ,"",31,"","","","","","","","","",""
"",Total Votes: ,"",292,"","","","","","","","","",""
Precinct: 45004 ,Polling Place: ,1 ,"","","","",Total: 290 ,Age 18-27: 32.4% ,Age 48-57: ,"","",14.1%,""
"Private House-Porch,Goindima, Goindima, Gbarpolu ","","","","","","",Males: 56.2% Females: 43.8% ,Age 28-37: 20.0% Age 38-47: 17.9% ,Age 58-67: Age 68+: ,"","",10.3%5.2%,""
"","","","","",Senate ,"","",House of Representatives,"","","","",""
President and Vice-President ,"","","","",Gbarpolu ,"","Gbarpolu, Electoral District 2","","","","","",""
Candidate ,"","",Votes ,Candidate ,"",Votes ,Candidate ,"","","","","",Votes
"BARNES, Milton Nathaniel (LDP) ","","",19 ,"DUKUKY, Jestina V. (CDC) ","",100 ,"DAVID, SR., Norris Gbartoe (NDPL) ","","","","","",14
"BRUMSKINE, Charles Walker (LP) ","","",10 ,"KOLLIE, George Blama (LP) ","",32 ,"DORLEY, Bartu Marie (NPP) ","","","","","",90
"CONNEH, Sekou Damate (PRODEM) ","","",4 ,"KONNEH, SR., Siafa Varney Gaindeh (NPP) ","",26 ,"FALLAH, Yassah Gbissi-K (COTOL) ","","","","","",19
"DIVINE, SR., Samuel Raymond (Ind) ","","",3 ,"MANNAH, SR., Isaac Freeman (COTOL) ","",34 ,"MCCAY, Joseph Botoe (CDC) ","","","","","",40
"FARHAT, David M. (FDP) ","","",0 ,"MENDS-COLE, Edward Sumo (LP) ","",98 ,"SANYON, Filiman Sekou (NRP) ","","","","","",3
"JALLAH, Armah Zolu (NPL) ","","",6 ,"NAATEHN, SR., Daniel Flomo (UP) ","",41 ,"SARNOR, Armah  (LP) ","","","","","",24
"JOHNSON-SIRLEAF, Ellen  (UP) ","","",93 ,"SEH, William M. (COTOL) ","",32 ,"SARNOR, Momo Gornah (UP) ","","","","","",24
"KIADII, George Momodu (NATVIPOL) ","","",6 ,"TARNUE, SR., Harris Fomba (NDPL) ","",18 ,"",Valid Votes: ,"","","","",214
"KIEH, JR., George Klay (NDM) ","","",3 ,"TAWEH, Joseph Jarleakai (UP) ","",9 ,"",Invalid Votes: ,"","","","",17
"KORTO, Joseph D. Z. (LERP) ","","",2 ,"TORMETIE, Samuel Sumo (NRP) ","",29 ,"",Total Votes: ,"","","","",231
"KPOTO, Robert Momo (ULD) ","","",0 ,"WESSO, A. Kanie (Ind) ","",3,"","","","","","",""
"KROMAH, Alhaji G. V. (ALCOP) ","","",2 ,"",Valid Votes: ,422,"","","","","","",""
"MASSAQUOI, Roland Chris Yarkpah (NPP) ","","",0 ,"",Invalid Ballots: ,4,"","","","","","",""
"MORLU, John Sembe (UDA) ","","",1 ,"",Valid Votes + Invalid Ballots: ,426,"","","","","","",""
"REEVES, Alfred Garpee (NRP) ","","",1,"","","","","","","","","",""
"SHERMAN, Harry Varney Gboto-Nambi (COTOL) ","","",15,"","","","","","","","","",""
"TIPOTEH, Togba-Nah  (APD) ","","",3,"","","","","","","","","",""
"TOR-THOMPSON, Margaret J. (FAPL) ","","",1,"","","","","","","","","",""
"TUBMAN, William Vacanarat Shadrach (RULP) ","","",9,"","","","","","","","","",""
"TUBMAN, Winston A. (NDPL) ","","",17,"","","","","","","","","",""
"WEAH, George Manneh (CDC) ","","",24,"","","","","","","","","",""
"WOAH-TEE, Joseph Mamadee (LPL) ","","",5,"","","","","","","","","",""
"",Valid Votes: ,"",224,"","","","","","","","","",""
"",Invalid Votes: ,"",10,"","","","","","","","","",""
"",Total Votes: ,"",234,"","","","","","","","","",""
Precinct: 45005 ,Polling Place: ,1 ,"","","","",Total: 315 ,Age 18-27: 35.9% ,Age 48-57: ,"","",9.8%,""
