INFO 2015-03-20 16:03:11,489: Saved Lofa, LPMC Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21132.html
INFO 2015-03-20 16:03:12,597: Saved Lofa, Selega Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21133.html
INFO 2015-03-20 16:03:13,706: Saved Lofa, Voinjama Market Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21134.html
INFO 2015-03-20 16:03:15,802: Saved Lofa, Ngorkorhun Public School (round 1): http://www.necliberia.org/senate2014/pp_results/21135.html
INFO 2015-03-20 16:03:16,903: Saved Lofa, Voinjama Catholic School (round 1): http://www.necliberia.org/senate2014/pp_results/21136.html
INFO 2015-03-20 16:03:18,010: Saved Lofa, Kintoma Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21137.html
INFO 2015-03-20 16:03:19,121: Saved Lofa, Kuluka Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21138.html
INFO 2015-03-20 16:03:20,248: Saved Lofa, Korwolane Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/21139.html
INFO 2015-03-20 16:03:24,520: Saved Gbarpolu, Ballah Town Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45001.html
INFO 2015-03-20 16:03:26,636: Saved Gbarpolu, Baloma Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45002.html
INFO 2015-03-20 16:03:28,750: Saved Gbarpolu, Beaden Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45003.html
INFO 2015-03-20 16:03:30,995: Saved Gbarpolu, Beathou Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45004.html
INFO 2015-03-20 16:03:32,074: Saved Gbarpolu, Domanmana Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45005.html
INFO 2015-03-20 16:03:34,157: Saved Gbarpolu, Marma Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45006.html
INFO 2015-03-20 16:03:35,243: Saved Gbarpolu, Beatoe Town (round 1): http://www.necliberia.org/senate2014/pp_results/45007.html
INFO 2015-03-20 16:03:37,348: Saved Gbarpolu, Belleh Yallah Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45008.html
INFO 2015-03-20 16:03:38,494: Saved Gbarpolu, Bombomah Public School (round 1): http://www.necliberia.org/senate2014/pp_results/45009.html
INFO 2015-03-20 16:03:40,603: Saved Gbarpolu, Fallah Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45010.html
INFO 2015-03-20 16:03:42,715: Saved Gbarpolu, FassamaTown Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45011.html
INFO 2015-03-20 16:03:43,824: Saved Gbarpolu, Gatima Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45012.html
INFO 2015-03-20 16:03:44,928: Saved Gbarpolu, Timba Town Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45013.html
INFO 2015-03-20 16:03:46,041: Saved Gbarpolu, Amtel Camp Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45014.html
INFO 2015-03-20 16:03:47,136: Saved Gbarpolu, Gbarkagborquoita Palava Hut (round 1): http://www.necliberia.org/senate2014/pp_results/45015.html
INFO 2015-03-20 16:03:49,247: Saved Gbarpolu, Gbarkorma School (round 1): http://www.necliberia.org/senate2014/pp_results/45016.html
INFO 2015-03-20 16:03:50,340: Saved Gbarpolu, Fahnyapolu Town Hall (round 1): http://www.necliberia.org/senate2014/pp_results/45017.html
